Bezeichnung / Feldgeräte,Beschreibung
ADN20,Durchgangs-Rücklaufverschraubung
AEN15,Eck-Rücklaufverschraubung
AEN20,Eck-Rücklaufverschraubung
AEW310.2,Impulsadapter für M-BUS inkl. MBUSSET
AL100,"Adapter ex SCS 3W/4W mit SSP.., STP..,"
AL100,"Adapter ex SCS 3W/4W mit SSP.., STP..,"
AL431,Schutz gegen Demontage der Antriebe
AL80,Adapter zu 2T-Ventile (ex SCS)
ALF41B100,Adapt-Flansch PN16 VXF43.100>VXF41.90
ALF41B125,Adapt-Flansch PN16 VXF43.125>VXF41.91
ALF41B15,Adapt-Flansch PN16 VXF53.15>VXF41.14/15
ALF41B150,Adapt-Flansch PN16 VXF43.150>VXF41.92
ALF41B25,Adapt-Flansch PN16 VXF53.25>VXF41.24/25
ALF41B40,Adapt-Flansch PN16 VXF53.40>VXF41.39/40
ALF41B50,Adapt-Flansch PN16 VXF53.50>VXF41.49/50
ALF41B65,Adapt-Flansch PN16 VXF43.65>VXF41.65
ALF41B80,Adapt-Flansch PN16 VXF43.80>VXF41.80
ALG10/20,Verschraubung für VVP47-Synergyr
ALG122,"Verschraubung Temperguss 3/8"" - 2-er Set"
ALG123,"Verschraubung Temperguss 3/8"" - 3-er Set"
ALG13.152B,"Verschraubungs-Set, 2x, G1/2B, Rp1/2"
ALG132,"Verschraubung MS AG3/8xIG 1/2, 2 Stück"
ALG133,"Verschraubung MS AG3/8xIG 1/2, 2 Stück"
ALG142,"Verschraubung MS AG1/2xIG 3/4, 2 Stück"
ALG143,"Verschraubung MS AG1/2xIG 3/4, 3 Stück"
ALG15.152B,"Verschraubungs-Set, 2x G1B, Rp1/2"
ALG15.202B,"Verschraubungs-Set, 2x G1B, Rp3/4"
ALG15.252B,"Verschraubungs-Set, 2x G1B, Rp1"
ALG152,Verschraubung Set Durchgangsventil DN15
ALG152B,"Ms-Vers DN15 mit IG 1/2"", 2er Set"
ALG153,Verschraubung Set 3-Weg Ventil DN15
